# KMCs    CPU time    Old energy    New energy     barrier  Total rate   time step    Sim time    Selec Ev   Init Topo    Sad Topo    Fin Topo
# **** ***********    **********   *********** ***********  **********  ********** *********** *********** *********** *********** ***********
     0  0.0000E+00        0.0000    -2332.9802      0.0000  0.0000E+00  0.0000E+00  0.0000E+00           0           0           0           0
     1  0.6739E+04    -2332.9802    -2334.0234      0.2897  0.2392E+12  0.3043E-11  0.3043E-11      171837       54981      307490     1128529
     2  0.7680E+04    -2334.0234    -2334.1047      0.6499  0.2687E+10  0.1945E-09  0.1976E-09      536749       66417      193793      867628
     3  0.8461E+04    -2334.1047    -2334.1045      0.9411  0.9784E+09  0.2066E-08  0.2263E-08      258398      937854       94959      533269
     4  0.9389E+04    -2334.1045    -2334.1135      0.9838  0.5690E+09  0.4320E-08  0.6583E-08      457201      934655       34588     1083515
     5  0.1017E+05    -2334.1135    -2334.1257      1.0521  0.1478E+09  0.4968E-08  0.1155E-07      221081      144929       21919      367817
     6  0.1070E+05    -2334.1257    -2333.9057      0.9133  0.2234E+09  0.3173E-08  0.1472E-07      450443       24072      727209      919492
     7  0.1141E+05    -2333.9057    -2334.1257      0.6934  0.1597E+10  0.1519E-09  0.1488E-07     1078417      919492      727209       24072
     8  0.1144E+05    -2334.1257    -2334.2646      0.9380  0.2233E+09  0.7008E-09  0.1558E-07       46089      983471      769367      815642
     9  0.1211E+05    -2334.2646    -2334.4869      0.0120  0.8614E+13  0.4827E-12  0.1558E-07      169743      650171      875706      816074
    10  0.1370E+05    -2334.4869    -2334.7980      0.2341  0.9783E+12  0.2491E-11  0.1558E-07        5926     1178783      362363      588718
    11  0.1432E+05    -2334.7980    -2335.9480      0.5338  0.2819E+11  0.6734E-10  0.1565E-07      155698      721460     1051842      686032
    12  0.1606E+05    -2335.9480    -2336.1274      0.7910  0.1203E+10  0.4220E-09  0.1607E-07       60408     1120667      607058      426390
    13  0.1699E+05    -2336.1274    -2335.6629      0.6325  0.3331E+10  0.1209E-09  0.1619E-07      175996      392365      681703      933405
    14  0.1768E+05    -2335.6629    -2336.1274      0.1679  0.1164E+13  0.3584E-12  0.1619E-07       52745      933405      681703      392365
    15  0.1779E+05    -2336.1274    -2335.6629      0.6325  0.3333E+10  0.7942E-09  0.1698E-07      175996      392365      681703      933405
    16  0.1792E+05    -2335.6629    -2336.1274      0.1679  0.1168E+13  0.6622E-12  0.1699E-07       52745      933405      681703      392365
    17  0.1803E+05    -2336.1274    -2335.6629      0.6325  0.3333E+10  0.2131E-10  0.1701E-07      175996      392365      681703      933405
    18  0.1816E+05    -2335.6629    -2336.1274      0.1679  0.1168E+13  0.1594E-11  0.1701E-07       52745      933405      681703      392365
    19  0.1828E+05    -2336.1274    -2335.6629      0.6325  0.3467E+10  0.4173E-09  0.1743E-07      175996      392365      681703      933405
    20  0.1841E+05    -2335.6629    -2336.1275      0.1679  0.1168E+13  0.3185E-12  0.1743E-07       52745      933405      681703      392365
    21  0.1853E+05    -2336.1275    -2335.6629      0.6325  0.3467E+10  0.2975E-09  0.1772E-07      175996      392365      681703      933405
    22  0.1866E+05    -2335.6629    -2336.1275      0.1679  0.1172E+13  0.8049E-12  0.1772E-07       52745      933405      681703      392365
    23  0.1878E+05    -2336.1275    -2335.6629      0.6325  0.3467E+10  0.2156E-09  0.1794E-07      175996      392365      681703      933405
    24  0.1890E+05    -2335.6629    -2336.1275      0.1679  0.1172E+13  0.8892E-12  0.1794E-07       52745      933405      681703      392365
    25  0.1902E+05    -2336.1275    -2335.6629      0.6325  0.3466E+10  0.2735E-09  0.1821E-07      175996      392365      681703      933405
    26  0.1915E+05    -2335.6629    -2336.1275      0.1679  0.1168E+13  0.2091E-12  0.1821E-07       52745      933405      681703      392365
    27  0.1928E+05    -2336.1275    -2335.6629      0.6325  0.3466E+10  0.1367E-09  0.1835E-07      175996      392365      681703      933405
    28  0.1941E+05    -2335.6629    -2336.1275      0.1679  0.1168E+13  0.8751E-13  0.1835E-07       52745      933405      681703      392365
